YearWeek,pro_R,pro_D,era,arms_race_index,ari_rolling,Cycle
2008-08,-2555487.2775999997,14149776.0241,pre_CU,-0.18060266630704794,0.1545097074830053,2008
2008-09,-211969.08249999996,8615417.060800001,pre_CU,-0.024603461562465227,0.05464847027527683,2008
2008-10,5955323.7898,6756016.817500001,pre_CU,0.8814844531431629,0.19360996932596256,2008
2008-11,5260795.7492,7049364.7867,pre_CU,0.7462794036599605,0.35563943223340255,2008
2008-12,4939784.773700001,3598337.1749000004,pre_CU,0.7284400717330791,0.5829001167434343,2008
2008-13,-1539226.4781000002,11429315.945500001,pre_CU,-0.1346735434946158,0.5553825962603968,2008
2008-14,6055699.898700001,4157476.7673000004,pre_CU,0.6865394317496647,0.5066463409120221,2008
2008-15,5145097.0846,10348692.2299,pre_CU,0.4971736496070979,0.44436990239880647,2008
2008-16,2926697.2658000006,8266953.477400001,pre_CU,0.3540236767753605,0.3507658036593769,2008
2008-17,5055800.497,13301167.683000002,pre_CU,0.38010200438730907,0.47945969062985805,2008
2008-18,3894293.2076000003,5299674.159100001,pre_CU,0.7348174794695935,0.49152920255984023,2008
2008-19,5399826.7197,6027069.6442,pre_CU,0.8959290398936055,0.5912180501314672,2008
2008-20,4818925.5039,5431238.908600001,pre_CU,0.8872608229900467,0.7245273366851388,2008
2008-21,14063354.881300002,6966479.5059,pre_CU,0.49536398424840333,0.7533428316504123,2008
2008-22,3597704.5186,7589784.765900001,pre_CU,0.4740193074728625,0.6881432886512295,2008
2008-23,4355587.3163,7468295.762,pre_CU,0.5832103407663624,0.6099636138694187,2008
2008-24,4744494.147700001,9806767.3177,pre_CU,0.48379797276690517,0.5090979013136333,2008
2008-25,4748700.6546,10024178.997700002,pre_CU,0.4737246467455904,0.5036880669379301,2008
2008-26,24766832.874300003,8815171.3473,pre_CU,0.3559264679517142,0.474164857057643,2008
2008-27,5013864.0048,7142238.147100001,pre_CU,0.7020017957306289,0.5038627207987096,2008
2008-28,5515916.959100001,6493629.5573,pre_CU,0.8494351133564624,0.595272005946099,2008
2008-29,3535452.892,5897404.3247,pre_CU,0.5994930476773522,0.6267141061790394,2008
2008-30,17374711.5608,39260898.119100004,pre_CU,0.4425449338446843,0.6483687226522818,2008
2008-31,5525761.8509,6042666.886700001,pre_CU,0.9144574662989091,0.701482640294352,2008
2008-32,7557161.3251,7918852.2468,pre_CU,0.9543253352345147,0.727705195763865,2008
2008-33,15317482.7608,21447299.879200004,pre_CU,0.7141916626836176,0.7563798495154315,2008
2008-34,29432093.0301,37981583.7978,pre_CU,0.7749043111731636,0.8394696938475513,2008
2008-35,4798173.5006,24406861.6673,pre_CU,0.19659117038502869,0.6600031198690811,2008
